항목코드,품목명,분류,단위, 기본단가 , 제3단가 ,설명
HW-001,IPX-IVR/VR 서버 (QuadCore / 16GB / 2TB RAID),H/W,EA,"3,200,000","3,000,000","표준형 IP 음성 응답 서버, 이중화 구성"
HW-002,"IPX-IVR/VR 서버 (Intel Xeon E-2234, 3.6GHz/4Core, 16GB DDR4/ 2TB SATA*2, OS Windows11 Pro)",H/W,EA,"4,500,000","4,300,000","고급형 IP 음성 응답 서버, 이중화 구성"
HW-003,IPX-CRS 서버 (Xeon / 32GB / SSD 1TB),H/W,EA,"4,200,000","3,900,000","고성능 CRS 서버, 실시간 통계 지원"
HW-004,SIP 게이트웨이 4CH,H/W,EA,"900,000","850,000",4채널 SIP to PSTN 변환 게이트웨이
SW-001,IPX-ARS 시스템,S/W,식,"7,000,000","6,800,000","IP-IPX연동, Web기반 ARS운용, 다중시나리오 적용, 자동안내 및 자동교환, 상세내역 통계"
SW-002,IPX-VR 시스템,S/W,식,"7,000,000","6,800,000","IP-IPX연동, Web기반 VR운용, 조회/청취, 통계, 녹취 DB 관리"
SW-003,IPX-VR/STT 시스템,S/W,식,"20,000,000","18,000,000","IP-IPX연동, Web기반 VR운용, 음성인식, 조회/청취, 통계, 녹취 DB 관리"
SW-004,IPX-VMS 시스템,S/W,식,"7,000,000","6,800,000",
SW-005,IPX-CRS 시스템,S/W,식,"7,000,000","6,800,000",
SW-006,IPX-FAX 시스템,S/W,식,"7,000,000","6,800,000",
SW-007,IPX-NMS 시스템,S/W,식,"7,000,000","6,800,000",
SW-008,IPX-ASR 시스템,S/W,식,"7,000,000","6,800,000",
SW-009,SMS 시스템,S/W,식,"7,000,000","6,800,000",
SW-010,과금 시스템,S/W,식,"7,000,000","6,800,000",
SW-011,전광판 시스템,S/W,식,"7,000,000","6,800,000",
SW-012,모닝콜 시스템,S/W,식,"7,000,000","6,800,000",
SW-013,PMS 시스템,S/W,식,"7,000,000","6,800,000",
SW-014,CallBack 시스템,S/W,식,"7,000,000","6,800,000",
SW-015,DISA,S/W,식,"7,000,000","6,800,000",
SW-016,멘트변경,S/W,식,"7,000,000","6,800,000",
SVC-001,상담관리시스템 개발,SVC,식,"5,000,000","4,500,000","상담원 상태관리, 알리미 현황관리, 대기호표출"
SVC-002,운영자 교육 및 사용자 메뉴얼,SVC,식,"300,000","250,000",운영자 대상 현장 교육 및 매뉴얼 제공
SVC-003,시나리오 녹음/편집 (성우 포함),SVC,식,"1,000,000","500,000",전문 성우 녹음 및 후편집 서비스
LIC-001,VR IP 채널 라이선스,LICENSE,CH,"100,000","80,000",IVR 통화 채널당 라이선스
LIC-002,CRS 채널 라이선스,LICENSE,CH,"100,000","90,000",고객 응대 채널 라이선스
ETC-001,설치 및 시스템 개통 (표준),ETC,식,"1,500,000","1,400,000","설치 및 개통, 시스템 안정화, 운용자 교육 포함"
ETC-002,현장방문 및 장비설정 지원,ETC,식,"500,000","450,000","장비 세팅, 테스트 포함 현장 지원"
